date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:11	304060/304060	---M--	200	added ('OK')	image/jpeg	etag:%225ddd165d-4a3bc%22	https://naturamoz.org.mz/media/home/084e519b-0c73-40f9-8052-d01bfb298aa6.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/084e519b-0c73-40f9-8052-d01bfb298aa6.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:13	425788/425788	---M--	200	added ('OK')	image/jpeg	etag:%225dcea9b1-67f3c%22	https://naturamoz.org.mz/media/home/d660b3e5-da65-4cbf-a6d1-cbdc0b7d52ab.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/d660b3e5-da65-4cbf-a6d1-cbdc0b7d52ab.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:19	143774/143774	---M--	200	added ('OK')	image/jpeg	etag:%225ddd958f-2319e%22	https://naturamoz.org.mz/media/home/0907eb2b-054e-494d-8dfa-5bad74dba7fc.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/0907eb2b-054e-494d-8dfa-5bad74dba7fc.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:20	3142662/3142662	---M--	200	added ('OK')	image/jpeg	etag:%225dce9c46-2ff406%22	https://naturamoz.org.mz/static/home2/fotos/PaginaPrincipal/actividades/P1011138.JPG	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fotos/PaginaPrincipal/actividades/P1011138.jpg	(from https://naturamoz.org.mz/static/home2/css/main.css)
18:22:22	321974/321974	---M--	200	added ('OK')	image/jpeg	etag:%225ddd1f7f-4e9b6%22	https://naturamoz.org.mz/media/home/0523fe34-8ddc-4a82-8b1b-d8f936627c0c.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/0523fe34-8ddc-4a82-8b1b-d8f936627c0c.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:24	149110/149110	---M--	200	added ('OK')	image/jpeg	etag:%225de8fffb-24676%22	https://naturamoz.org.mz/media/home/87843b53-a87c-4aad-a28c-20aecb6cbe55.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/87843b53-a87c-4aad-a28c-20aecb6cbe55.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:25	85577/85577	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-14e49%22	https://naturamoz.org.mz/static/home2/js/jquery-2.2.4.min.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/jquery-2.2.4.min.js	(from https://naturamoz.org.mz/gallery/)
18:22:25	235134/235134	---M--	200	added ('OK')	image/jpeg	etag:%225de900f9-3967e%22	https://naturamoz.org.mz/media/home/6bdcf7de-5c4b-4c5f-b85e-6257b13c532b.JPG	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/6bdcf7de-5c4b-4c5f-b85e-6257b13c532b.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:27	454468/454468	---M--	200	added ('OK')	image/jpeg	etag:%225de8f2e7-6ef44%22	https://naturamoz.org.mz/media/home/60cb5c1b-d736-44ab-b582-fb961ef064d5.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/60cb5c1b-d736-44ab-b582-fb961ef064d5.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:27	492128/492128	---M--	200	added ('OK')	image/jpeg	etag:%225ddd169b-78260%22	https://naturamoz.org.mz/media/home/31a47fae-2249-4520-8289-e7dab59c97c1.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/31a47fae-2249-4520-8289-e7dab59c97c1.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:27	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-14979%22	https://naturamoz.org.mz/static/gallery2/js/jquery-2.1.4.min.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/gallery2/js/jquery-2.1.4.min.js	(from https://naturamoz.org.mz/gallery/)
18:22:27	10203/10203	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-27db%22	https://naturamoz.org.mz/static/gallery2/js/jquery.chocolat.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/gallery2/js/jquery.chocolat.js	(from https://naturamoz.org.mz/gallery/)
18:22:28	1944/1944	---MCZ	200	added ('OK')	text/css	etag:W/%225db966ed-798%22	https://naturamoz.org.mz/static/gallery2/css/chocolat.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/gallery2/css/chocolat.css	(from https://naturamoz.org.mz/gallery/)
18:22:30	67546/67546	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-107da%22	https://naturamoz.org.mz/static/gallery2/js/bootstrap.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/gallery2/js/bootstrap.js	(from https://naturamoz.org.mz/gallery/)
18:22:31	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225a637bd4-1538f%22	http://code.jquery.com/jquery-3.3.1.min.js	E:/explicador/NaturaWebSite/code.jquery.com/jquery-3.3.1.min.js	(from https://naturamoz.org.mz/videos/)
18:22:31	10872/10872	---MCZ	200	added ('OK')	text/css	etag:W/%225dc032d4-2a78%22	https://naturamoz.org.mz/static/videos/css/style.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/videos/css/style.css	(from https://naturamoz.org.mz/videos/)
18:22:35	23494/23494	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ee-5bc6%22	https://naturamoz.org.mz/static/videos/compiled/base.min.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/videos/compiled/base.min.js	(from https://naturamoz.org.mz/videos/)
18:22:37	366092/366092	---M--	200	added ('OK')	image/png	etag:%225dbae4f3-5960c%22	https://naturamoz.org.mz/static/home2/fotos/videos/image.png	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fotos/videos/image.png	(from https://naturamoz.org.mz/videos/)
18:22:38	15231/15231	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbf40c-3b7f%22	https://naturamoz.org.mz/static/blog2/blog/style.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/blog2/blog/style.css	(from https://naturamoz.org.mz/blog/)
